Title,Date,DownloadLink
Pakistan Fertilizer Statistics 2024,"January 22, 2026",https://mnfsr.gov.pk/SiteImage/Publication/PFS-2024.pdf
Annual Fertilizer Review 2024-25,"January 22, 2026",https://mnfsr.gov.pk/SiteImage/Publication/AFR2024-25.pdf
Monthly Fertilizer Review Dec 2025,"January 23, 2026",https://mnfsr.gov.pk/SiteImage/Publication/MFRDec-2025.pdf
English Brochure 15 Aug 2025,"September 23, 2025",https://mnfsr.gov.pk/SiteImage/Publication/English-Brochure-2025.pdf
Brochure June 2025 Legal Urdu,"September 23, 2025",https://mnfsr.gov.pk/SiteImage/Publication/Brochure-June-2025.pdf
MNSFR Newsletter 2025,"September 23, 2025",https://mnfsr.gov.pk/SiteImage/Publication/MNSFR Newsletter 2025.pdf
ANNUAL PROCUREMENT PLAN for FY 2025 26,"August 12, 2025",https://mnfsr.gov.pk/SiteImage/Publication/ANNUAL PROCUREMENT PLAN.pdf
Agricultural Statistics of Pakistan 2023 to 2024,"June 17, 2025",https://mnfsr.gov.pk/SiteImage/Publication/ASP for Web 2024.pdf
Fruit Vegetables and Condiments Statistics of Pakistan 2023-24,"May 06, 2025",https://mnfsr.gov.pk/SiteImage/Publication/Statistics of 2023-04.pdf
Crops Area and Production (District Wise 2023-24),"April 23, 2025",https://mnfsr.gov.pk/SiteImage/Publication/Free.pdf
Year Book 2023-24,"February 06, 2025",https://mnfsr.gov.pk/SiteImage/Publication/Year Book 23-24.pdf
Publication of Annual Procurement Plan for FY 2024 25,"July 12, 2024",https://mnfsr.gov.pk/SiteImage/Publication/APP FY20242025.pdf
Agricultural statistics of pakistan2022 to 23,"May 24, 2024",https://mnfsr.gov.pk/SiteImage/Publication/mnfsrpublication.pdf
Crops Area AND Production by 2022-23,"May 24, 2024",https://mnfsr.gov.pk/SiteImage/Publication/cropsarea.pdf
National Seed Policy of Pakistan 2024,"April 24, 2024",https://mnfsr.gov.pk/SiteImage/Publication/NationalSeedpolicy2024.pdf
"Fruit, Vegetables and Condiments Statistics of Pakistan 2022-23","March 20, 2024",https://mnfsr.gov.pk/SiteImage/Publication/draft_fvc_1.0.pdf
Year Book 2022-23,"December 18, 2023",https://mnfsr.gov.pk/SiteImage/Publication/Year Book 2022-23.pdf
Publication of Annual Procurement Plan for FY 2023-24,"July 11, 2023",https://mnfsr.gov.pk/SiteImage/Publication/Publication2022-23.pdf
CROPS AREA AND PRODUCTION DISTRICT WISE 2021-2022,"July 07, 2023",https://mnfsr.gov.pk/SiteImage/Publication/CAP.pdf
"Fruit, Vegetables and Condiments Statistics of Pakistan 2021-22","April 07, 2023","https://mnfsr.gov.pk/SiteImage/Publication/Fruit,Vegetables update.pdf"
Year Book 2021-22,"March 22, 2023",https://mnfsr.gov.pk/SiteImage/Publication/Year Book 2021-22.pdf
Fruit Vegetables and Condiments Statistics of Pakistan 2020-21,"June 14, 2022",https://mnfsr.gov.pk/SiteImage/Publication/FVAndCSofP2020-21.pdf
Year Book 2020-21,"December 15, 2021",https://mnfsr.gov.pk/
Crops Area and Production 2020-21,"June 14, 2022",https://mnfsr.gov.pk/
Agricultural Statistics of Pakistan 2021-22,"May 16, 2023",https://mnfsr.gov.pk/SiteImage/Publication/ASP 21-22.pdf
