Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12
,Kharif,Rabi,Total,Kharif,Rabi,Total,Kharif,Rabi,Total,Kharif,Rabi,Total
2015-16,20.71,7.87,28.58,22.83,4.48,27.31,83.20,17.76,100.96,126.74,30.11,156.85
2016-17,15.15,4.57,19.72,18.05,3.98,22.03,76.74,13.93,90.67,109.94,22.48,132.42
2017-18,15.80,2.41,18.21,20.71,2.84,23.55,72.32,11.94,84.26,108.83,17.19,126.02
2018-19,11.18,4.71,15.89,16.82,4.77,21.59,58.94,12.92,71.86,86.94,22.40,109.34
2019-20,16.56,6.55,23.11,19.63,6.01,25.64,70.05,15.92,85.97,106.24,28.48,134.72
2020-21,16.14,4.68,20.82,18.75,3.59,22.34,67.08,14.32,81.40,101.97,22.59,124.56
Year,B. Eastern Rivers,,,,,,,,,C. All Rivers,,
,Ravi at Balloki **,,,Sutleg at Sulemanki ***,,,Eastern Rivers Total,,,Grand Total,,
,Kharif,Rabi,Total,Kharif,Rabi,Total,Kharif,Rabi,Total,Kharif,Rabi,Total
2015-16,3.00,0.94,3.94,2.02,0.14,2.16,5.02,1.08,6.10,131.76,31.19,162.95
2016-17,1.67,0.79,2.46,0.12,0.23,0.35,1.79,1.02,2.81,111.73,23.50,135.23
2017-18,2.20,0.63,2.83,0.40,0.95,1.35,2.60,1.58,4.18,111.43,18.77,130.20
2018-19,2.04,0.84,2.88,0.21,0.64,0.85,2.25,1.48,3.73,89.19,23.88,113.07
2019-20,1.90,1.51,3.41,2.00,0.52,2.52,3.90,2.03,5.93,110.14,30.51,140.65
"2020-21 2.13 0.58 2.71 0.75 0.2 0.95 2.88 0.78 3.66 104.85 23.37 128.22 * Unregulated Source: Water Management Directorate, WAPDA, Lahore ** Ravi at Balloki above UCC tail - MR Tail - GB Tail *** Sutleg at Sulemanki above - BS-1 Tail-BS Tail.",2.13,0.58,2.71,0.75,0.2,0.95,2.88,0.78,3.66,104.85,23.37,128.22
