Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16
Table-7 Province-wise Canal Withdrawals (Million Area Feet)(Million Acre Feet),,,,,,,,,,,,,,,
Year,Kharif,,,,,Rabi,,,,,Annual,,,,
,Punjab (a),Sindh (b),Khyber P akhtunk hwa (c),Balochistan (d),Total,Punjab (a),Sindh (b),Khyber Pakhtunk hwa (c),Balochistan (d),Total,Punjab (a),Sindh (b),Khyber P akhtu nkhwa (c),Balochist an (d),Total
2015-16,33.16,32.88,4.67,1.61,72.32,17.16,15.56,2.92,0.98,36.62,50.32,48.44,7.59,2.59,108.94
2016-17,36.96,34.06,5.52,1.93,78.47,16.07,13.13,3.38,1.09,33.67,53.03,47.19,8.9,3.02,112.14
2017-18,36,33.45,4.94,2.06,76.45,12.75,10.8,3.17,1.12,27.84,48.75,44.25,8.11,3.18,104.29
2018-19,28.45,29.43,4.66,1.70,64.24,13.43,11.03,2.93,0.96,28.35,41.88,40.46,7.59,2.66,92.59
2019-20,34.08,29.71,5.28,1.87,70.94,14.67,14.01,3.04,1.24,32.96,48.75,43.72,8.32,3.11,103.90
2020-21,34.65,88.13,3.03,2.02,127.83,17.89,15.93,1.59,1.22,36.63,52.54,104.06,4.62,3.24,164.46
2021-22,32.95,29.12,3.18,1.94,67.19,14.59,11.08,1.69,1.00,28.36,47.54,40.20,4.87,2.94,95.55
