Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
Table-12 Output of Major Forest Products,,,,,,
Year,Quantity ('000' cub. meters),,,Value (Million Rupees),,
,Timber,Firewood,Total,Timber,Firewood,Total
2015-16,53.3,336.9,390.1,2041.1,422.0,2463.1
2016-17,36.8,293.5,330.3,559.3,347.3,906.6
2017-18,34.6,221.1,255.7,1068.5,582.2,1650.6
2018-19,46.5,220.0,266.5,1227.0,587.8,1814.7
2019-20,47.4,142.7,190.1,1631.1,577.8,2208.9
2020-21,48.2,319.3,367.5,1048.5,1007.0,2055.5
2021-22,52.7,300.9,353.6,8821.5,4010.2,12831.7
