Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11
Table 1.,AREA & PRODUCTION OF FOOD CROPS IN PAKISTAN,1,,,,,,,,
Table 2.,AREA & PRODUCTION OF FOOD CROPS IN PUNJAB,2,,,,,,,,
Table 3.,AREA & PRODUCTION OF FOOD CROPS IN SINDH,3,,,,,,,,
Table 4.,AREA & PRODUCTION OF FOOD CROPS IN KHYBER PAKHTUNKHWA,4,,,,,,,,
Table 5.,AREA & PRODUCTION OF FOOD CROPS IN BALOCHISTAN,5,,,,,,,,
,GRAPHS FOR WHEAT CROP,6,,,,,,,,
Table 6.,PROVINCE-WISE AREA & PRODUCTION OF WHEAT CROP IN PAKISTAN,7,,,,,,,,
Table 7.,DISTRICT-WISE AREA & PRODUCTION OF WHEAT CROP IN PUNJAB,8,,,,,,,,
Table 8.,DISTRICT-WISE AREA & PRODUCTION OF WHEAT CROP IN SINDH,12,,,,,,,,
Table 9.,DISTRICT-WISE AREA & PRODUCTION OF WHEAT CROP IN KHYBER PAKHTUNKHWA,15,,,,,,,,
Table 10.,DISTRICT-WISE AREA & PRODUCTION OF WHEAT CROP IN BALOCHISTAN,19,,,,,,,,
,GRAPHS FOR RICE CROP,22,,,,,,,,
Table 11.,PROVINCE-WISE AREA & PRODUCTION OF RICE CROP IN PAKISTAN,23,,,,,,,,
Table 12.,DISTRICT -WISE AREA & PRODUCTION OF RICE CROP IN PUNJAB,24,,,,,,,,
Table 13.,DISTRICT -WISE AREA & PRODUCTION OF RICE CROP IN SINDH,28,,,,,,,,
Table 14.,DISTRICT -WISE AREA & PRODUCTION OF RICE CROP IN KHYBER PAKHTUNKHWA,31,,,,,,,,
Table 15.,DISTRICT -WISE AREA & PRODUCTION OF RICE CROP IN BALOCHISTAN,35,,,,,,,,
,GRAPHS FOR MAIZE CROP,38,,,,,,,,
Table 16.,PROVINCE-WISE AREA & PRODUCTION OF MAIZE CROP IN PAKISTAN,39,,,,,,,,
Table 17.,DISTRICT-WISE AREA & PRODUCTION OF MAIZE CROP IN PUNJAB,40,,,,,,,,
Table 18.,DISTRICT-WISE AREA & PRODUCTION OF MAIZE CROP IN SINDH,44,,,,,,,,
Table 19.,DISTRICT-WISE AREA & PRODUCTION OF MAIZE CROP IN KHYBER PAKHTUNKHWA,47,,,,,,,,
Table 20.,DISTRICT-WISE AREA & PRODUCTION OF MAIZE CROP IN BALOCHISTAN,51,,,,,,,,
,GRAPHS FOR BAJRA CROP,54,,,,,,,,
Table 21.,PROVINCE-WISE AREA & PRODUCTION OF BAJRA CROP IN PAKISTAN,55,,,,,,,,
Table 22.,DISTRICT-WISE AREA & PRODUCTION OF BAJRA CROP IN PUNJAB,56,,,,,,,,
Table 23.,DISTRICT-WISE AREA & PRODUCTION OF BAJRA CROP IN,60,,,,,,,,
,SINDH,,,,,,,,,
Table 24.,DISTRICT-WISE AREA & PRODUCTION OF BAJRA CROP IN KHYBER PAKHTUNKHWA,63,,,,,,,,
Table 25.,DISTRICT-WISE AREA & PRODUCTION OF BAJRA CROP IN BALOCHISTAN,67,,,,,,,,
,GRAPHS FOR JOWAR CROP,70,,,,,,,,
