Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14
Year/ Province,Geographical area,Total area reported col.(4+5+6+7),Forest area,Not available for cultivation,Culturable waste,Cultivated area col.(8+9),Current fallow,Net area sown,Area sown more than once,Total cropped area col.(9+10),Agriculture land (13+4),Arable land (6+7),Unculti-vatable area (4+5+6)
1,2,3,4,5,6,7,8,9,10,11,12,13,14
2015-16,,,,,,,,,,,,,
Total,79.61,57.99,4.00,23.00,8.25,22.74,7.10,15.64,7.91,23.55,34.99,30.99,35.25
Punjab,20.63,17.52,0.48,2.93,1.56,12.55,1.88,10.67,6.37,17.04,14.59,14.11,4.97
Sindh,14.09,14.08,1.03,6.32,1.60,5.13,2.51,2.62,0.98,3.60,7.76,6.73,8.95
Khyber Pakhtunkhwa,10.17,8.34,1.32,3.92,1.23,1.87,0.57,1.30,0.55,1.85,4.42,3.10,6.47
Balochistan,34.72,18.05,1.17,9.83,3.86,3.19,2.14,1.05,0.01,1.06,8.22,7.05,14.86
2016-17,,,,,,,,,,,,,
Total,79.61,58.01,3.91,22.89,8.36,22.85,7.20,15.65,7.48,23.13,35.12,31.21,35.16
Punjab,20.63,17.52,0.48,2.89,1.55,12.60,1.98,10.62,5.87,16.49,14.63,14.15,4.92
Sindh,14.09,14.08,1.03,6.25,1.61,5.19,2.51,2.68,1.00,3.68,7.83,6.80,8.89
Khyber Pakhtunkhwa,10.17,8.36,1.24,3.92,1.34,1.86,0.57,1.29,0.60,1.89,4.44,3.20,6.50
Balochistan,34.72,18.05,1.16,9.83,3.86,3.20,2.14,1.06,0.01,1.07,8.22,7.06,14.85
2017-18,,,,,,,,,,,,,
Total,79.61,58.02,3.91,22.95,8.25,22.91,7.15,15.76,7.77,23.53,35.07,31.16,35.11
Punjab,20.63,17.54,0.48,2.95,1.47,12.64,1.87,10.77,6.16,16.93,14.59,14.11,4.90
Sindh,14.09,14.07,1.03,6.25,1.61,5.18,2.53,2.65,1.00,3.65,7.82,6.79,8.89
Khyber Pakhtunkhwa,10.17,8.36,1.24,3.92,1.34,1.86,0.57,1.29,0.60,1.89,4.44,3.20,6.50
Balochistan,34.72,18.05,1.16,9.83,3.83,3.23,2.18,1.05,0.01,1.06,8.22,7.06,14.82
2018-19,,,,,,,,,,,,,
Total,79.61,58.03,3.91,23.59,8.27,22.26,7.13,15.13,7.52,22.65,34.44,30.53,35.77
Punjab,20.63,17.54,0.48,2.95,1.51,12.60,1.93,10.67,6.01,16.68,14.59,14.11,4.94
Sindh,14.09,14.08,1.03,6.89,1.60,4.56,2.37,2.19,0.90,3.09,7.19,6.16,9.52
Khyber Pakhtunkhwa,10.17,8.35,1.24,3.92,1.32,1.87,0.61,1.26,0.60,1.86,4.43,3.19,6.48
Balochistan,34.72,18.06,1.16,9.83,3.84,3.23,2.22,1.01,0.01,1.02,8.23,7.07,14.83
2019-20,,,,,,,,,,,,,
