Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9
TABLE-5 SUPPORT/PROCUREMENT PRICES OF AGRICULTURAL COMMODITIES,,,,,,,,
(Rs. Per 40 kgs.),,,,,,,,
Commodities,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Wheat,1300,1300,1300,1300,1400,1800,2200,3900
Paddy:,,,,,,,,
Basmati: Supper,-,-,-,-,-,-,,
Basmati: 385,-,-,-,-,-,-,,
IRRI-6 (FAQ),-,-,-,-,-,-,,
"DR-82/83, KS-282 (FAQ)",-,-,-,-,-,-,,
Seed Cotton (Phutti),,,,,,,,
"B‑557, 149‑F, NIAB-78",-,-,-,-,-,-,5000,8500
Sugarcane,,,,,,,,
Punjab,180,180,180,180,190,200,225,300
Sindh,172,182,182,182,192,202,250,302
Khyber Pakhtunkhwa,180,180,180,180,180,200,225,300
