title,url
Home,https://www.pbs.gov.pk
About PBS,#
About Us,https://www.pbs.gov.pk/about
History,https://www.pbs.gov.pk/history
Vision,https://www.pbs.gov.pk/vision
Mission,https://www.pbs.gov.pk/mission
Organogram,https://www.pbs.gov.pk/organogram/
Contact us,https://www.pbs.gov.pk/contact-1/
pbs@pbs.gov.pk,mailto:pbs@pbs.gov.pk%20
Services,#
Classifications,https://www.pbs.gov.pk/classifications/
Data Citations,https://www.pbs.gov.pk/data-citations/
Data Dissemination,https://www.pbs.gov.pk/data-dissemination/
GIS Lab,https://www.pbs.gov.pk/gis/
PSDP Projects,https://www.pbs.gov.pk/psdp-projects/
Sample Design,https://www.pbs.gov.pk/sample-design/
IT Services,https://www.pbs.gov.pk/dp-center/
NSDP,https://www.pbs.gov.pk/nsdp/
Field Services,https://www.pbs.gov.pk/field-services-landing-page/
Data Request,https://www.pbs.gov.pk/data-information-request-form/
Training (Domestic/Local),https://www.pbs.gov.pk/training-domestic-local/
Training Wing,https://www.pbs.gov.pk/training-wing-web-portal-page/
Statistics,#
Price Statistics,https://www.pbs.gov.pk/price-statistics/
National Accounts,https://www.pbs.gov.pk/national-accounts-2/
Agri Statistics,https://www.pbs.gov.pk/agriculture-sector-of-pakistan-importance-role-key-statistics/
Survey on COVID-19,https://www.pbs.gov.pk/survey-on-covid-19/
PSLM,https://www.pbs.gov.pk/pslm-3/
Labour Force,https://www.pbs.gov.pk/labour-force-statistics/
Industry,https://www.pbs.gov.pk/industry-2/
Population Statistics,https://www.pbs.gov.pk/census/
Social Statistics,https://www.pbs.gov.pk/social-statistics-2/
Disability Stats,https://www.pbs.gov.pk/disability-statistics-2/
Trade,https://www.pbs.gov.pk/external-trade-statistics
Energy & Mining,https://www.pbs.gov.pk/energy-mining-2/
Business Register,https://www.pbs.gov.pk/business-register-2/
Survey,#
PSLM,https://www.pbs.gov.pk/pslm-3/
HIES,https://www.pbs.gov.pk/hies/
LFS,https://www.pbs.gov.pk/labour-force-statistics/
PDS,https://www.pbs.gov.pk/pds/
Census,#
Population and Housing 2023,https://www.pbs.gov.pk/census/
Population Census [Archive],https://www.pbs.gov.pk/censusarchive/
Economic Census,https://www.pbs.gov.pk/pakistan-bureau-of-statistics-economic-statistics-production/
Agriculture Census,https://www.pbs.gov.pk/agriculture-census/
Mouza Census,https://www.pbs.gov.pk/mouza-census/
Media,#
Publications,https://www.pbs.gov.pk/publication-2
Jobs,https://www.pbs.gov.pk/job-openings/
Press Release,https://www.pbs.gov.pk/?page_id=11078
Rebuttal,https://www.pbs.gov.pk/?page_id=11925
Tenders,https://www.pbs.gov.pk/?page_id=5911
Child Labour Survey Graph,https://www.pbs.gov.pk/content/child-labour-survey-graph/
DataFest,https://www.pbs.gov.pk/datafestival/
Gallery,https://www.pbs.gov.pk/image-gallery/
Data Insights,#
National Account,https://na.data.gov.pk/
Crime Statistics,http://social.data.gov.pk
Population Census 2023,https://census23.pbos.gov.pk/
Crop Statistics,http://na.data.gov.pk/Crops/Home
Price,http://dssi.data.gov.pk
Digital Census 2023,https://census23.pbos.gov.pk/
Trade Statistics,https://tradedashboard.data.gov.pk/Home/Login
HIES SDGs,https://pslm-sdgs.data.gov.pk/sdgs/index
Pakistan Spatial Insights,http://psi.pbos.gov.pk
Mouza Census,http://mc2020.pbos.gov.pk/
PSLM SDGs,https://pslm-sdgs.data.gov.pk/districtlevel
Download Publication,https://www.pbs.gov.pk/wp-content/uploads/2020/07/merged_pdf.pdf
Download Publication,https://www.pbs.gov.pk/wp-content/uploads/2020/07/merged_pdf1.pdf
Download Publication [pdf],https://www.pbs.gov.pk/wp-content/uploads/2020/07/area_and_production_by_districts_for_28_years.pdf
Download Publication [pdf],https://www.pbs.gov.pk/wp-content/uploads/2020/07/area_and_production_by_districts_for_28_years.pdf
Table 01 --- Area and Production of Important Crops,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_1_Area_production_crops.pdf
Table 02 (a) & (b) --- Acerage & Quantam Index Agri Crops,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Acerage_Quantam_Index_Agri_Crops.pdf
Table 03 --- Land Utilization Statistics,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Land_Utilization_Statistics.pdf
Table 04 --- Area Irrigated by Different Sources,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Area_Irrigated_by_Different_Sources.pdf
Table 05 --- Support-Procurment Prices of Agriculture Commodities,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_5_Support_Procurment_Prices_of_Agriculture_Commodities.pdf
Table 06 --- Season-Wise Rivers Inflows at Rim-stations,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_6_Season_Wise_Rivers_Inflows_at_Rim_stations.pdf
Table 07 --- Province-Wise Canal Withdrawals,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_7_Province_wise_Canal_Withdrawals.pdf
Table 08 --- Command-Wise Canal Withdrawals,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_8_Command_wise_Canal_Withdrawls.pdf
Table 09 --- Overall Water Availability,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_9_Overall_WaterAvailability.pdf
Table 10 -- Province Wise Consumption of Fertilizer,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_10_Province_wise_consumption_of_fertilizer.pdf
Table 11 -- Crop-wise Consumption of Fertilizers,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_11_Crop_wise_Consumption_of_fertilizer.pdf
Table 12 -- Output Major Forest Products,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_12_Output_Major_Forest_Products.pdf
Table 13 -- Approved Crop Calendar (Kharif),https://www.pbs.gov.pk/wp-content/uploads/2020/07/table_13_approved_crop_calendar_kharif.pdf
Table 14 -- Approved Crop Calendar (Rabi),https://www.pbs.gov.pk/wp-content/uploads/2020/07/table_14_approved_crop_calendar_rabi.pdf
Table 15 -- Crop Calendar For Potatoes and Onion Crops,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Table_15_crop_calendar_of_potatoes_onion_crop.pdf
Agriculture Statistics of Pakistan 2010-11,https://www.pbs.gov.pk/wp-content/uploads/2020/07/merged_pdf.pdf
Agriculture Statistics of Pakistan 2010-11,https://www.pbs.gov.pk/wp-content/uploads/2020/07/merged_pdf1.pdf
Crops Area And Production By Districts (1981-82 TO 2008-09),https://www.pbs.gov.pk/wp-content/uploads/2020/07/area_and_production_by_districts_for_28_years.pdf
Crops Area And Production By Districts (1981-82 TO 2008-09),https://www.pbs.gov.pk/wp-content/uploads/2020/07/area_and_production_by_districts_for_28_years.pdf
Phone:+92 51 9106588,tel:#
Email:pbs@pbs.gov.pk,mailto:pbs@pbs.gov.pk
PSLM,https://www.pbs.gov.pk/?page_id=11968
Price,https://www.pbs.gov.pk/?page_id=7291
Labour Force,https://www.pbs.gov.pk/?page_id=11368
National Accounts,https://www.pbs.gov.pk/?page_id=11402
External Trade,https://www.pbs.gov.pk/external-trade-statistics/
PBS Webmail,https://mail.pbs.gov.pk/
Faqs,https://www.pbs.gov.pk/faqs/
Jobs,https://www.pbs.gov.pk/job-openings/
About,https://www.pbs.gov.pk/about/
Contact Us,https://www.pbs.gov.pk/contact-1/
Facebook-square,https://www.facebook.com/PBSofficialpak
